lemma,reading,accent_type
幹,ミキ,1
根,ネ,1
芽,メ,1
つぼみ,ツボミ,0
実,ミ,1
種,タネ,0
顔,カオ,0
頭,アタマ,3
髪,カミ,2
額,ヒタイ,0
眉,マユ,1
まつげ,マツゲ,0
まぶた,マブタ,0
目,メ,1
黒目,クロメ,0
白目,シロメ,0
耳,ミミ,1
耳たぶ,ミミタブ,0
鼻,ハナ,0
鼻筋,ハナスジ,0
口,クチ,0
唇,クチビル,0
歯,ハ,1
歯茎,ハグキ,0
舌,シタ,0
あご,アゴ,0
首,クビ,0
のど,ノド,1
肩,カタ,1
腕,ウデ,2
肘,ヒジ,0
手,テ,1
手首,テクビ,0
手のひら,テノヒラ,0
指,ユビ,0
親指,オヤユビ,0
人差し指,ヒトサシユビ,0
中指,ナカユビ,0
薬指,クスリユビ,0
小指,コユビ,0
爪,ツメ,0
胸,ムネ,1
背中,セナカ,0
腰,コシ,0
腹,ハラ,0
へそ,ヘソ,1
尻,シリ,0
太もも,フトモモ,0
ひざ,ヒザ,0
すね,スネ,1
ふくらはぎ,フクラハギ,0
足,アシ,2
足首,アシクビ,0
かかと,カカト,0
足裏,アシウラ,0
表紙,ヒョウシ,0
背景,ハイケイ,0
文字,モジ,1
帯,オビ,0
余白,ヨハク,0
レイアウト,レイアウト,0
機種,キシュ,1
漢字,カンジ,1
先輩,センパイ,0
上司,ジョウシ,1
家族,カゾク,1
夢,ユメ,2
時間差,ジカンサ,0
言葉,コトバ,3
健康,ケンコウ,0
健康管理,ケンコウカンリ,0
体,カラダ,0
読書,ドクショ,1
親,オヤ,2
老後,ロウゴ,1
手足,テアシ,0
神経,シンケイ,0
学校生活,ガッコウセイカツ,0
魅力,ミリョク,0
学級委員長,ガッキュウイインチョウ,0
部活動,ブカツドウ,0
考え方,カンガエカタ,0
武器,ブキ,1
ルール,ルール,1
位置,イチ,1
利益,リエキ,1
結果,ケッカ,0
成長,セイチョウ,0
人間関係,ニンゲンカンケイ,5
トラブル,トラブル,1
声がけ,コエガケ,0
緊張感,キンチョウカン,0
ツール,ツール,1
素顔,スガオ,0
仮面,カメン,0
盾,タテ,1
攻撃,コウゲキ,0
骨盤,コツバン,0
姿勢,シセイ,0
座り方,スワリカタ,0
歩き方,アルキカタ,0
軸,ジク,2
椅子,イス,0
机,ツクエ,0
学習机,ガクシュウヅクエ,0
勉強机,ベンキョウヅクエ,0
テーブル,テーブル,1
ダイニングテーブル,ダイニングテーブル,0
ローテーブル,ローテーブル,0
サイドテーブル,サイドテーブル,0
丸テーブル,マルテーブル,0
角テーブル,カクテーブル,0
ベッド,ベッド,1
二段ベッド,ニダンベッド,0
ソファ,ソファ,1
一人掛けソファ,ヒトリガケソファ,0
二人掛けソファ,フタリガケソファ,0
三人掛けソファ,サンニンガケソファ,0
ソファベッド,ソファベッド,0
クッション,クッション,1
座布団,ザブトン,0
まくら,マクラ,0
枕カバー,マクラカバー,0
布団,フトン,0
敷布団,シキブトン,0
掛け布団,カケブトン,0
毛布,モウフ,1
シーツ,シーツ,1
マットレス,マットレス,1
棚,タナ,0
本棚,ホンダナ,0
下駄箱,ゲタバコ,0
食器棚,ショッキダナ,0
戸棚,トダナ,0
飾り棚,カザリダナ,0
タンス,タンス,1
箪笥,タンス,1
整理棚,セイリダナ,0
収納棚,シュウノウダナ,0
引き出し,ヒキダシ,0
押し入れ,オシイレ,0
クローゼット,クローゼット,0
ロッカー,ロッカー,1
チェスト,チェスト,1
ハンガーラック,ハンガーラック,0
ドア,ドア,1
引き戸,ヒキド,0
ふすま,フスマ,0
障子,ショウジ,1
窓,マド,1
網戸,アミド,0
カーテン,カーテン,1
ブラインド,ブラインド,0
カーペット,カーペット,0
じゅうたん,ジュウタン,0
ラグ,ラグ,1
玄関マット,ゲンカンマット,0
鏡,カガミ,0
姿見,スガタミ,0
時計,トケイ,0
目覚まし時計,メザマシドケイ,0
壁掛け時計,カベカケドケイ,0
置き時計,オキドケイ,0
照明,ショウメイ,0
電灯,デントウ,0
電球,デンキュウ,0
蛍光灯,ケイコウトウ,0
スタンドライト,スタンドライト,0
シーリングライト,シーリングライト,0
ランプ,ランプ,1
扇風機,センプウキ,3
ストーブ,ストーブ,2
ヒーター,ヒーター,1
エアコン,エアコン,0
加湿器,カシツキ,0
除湿機,ジョシツキ,0
空気清浄機,クウキセイジョウキ,0
掃除機,ソウジキ,0
ロボット掃除機,ロボットソウジキ,0
冷蔵庫,レイゾウコ,0
冷凍庫,レイトウコ,0
電子レンジ,デンシレンジ,0
オーブン,オーブン,1
トースター,トースター,1
炊飯器,スイハンキ,3
電気ポット,デンキポット,0
ポット,ポット,1
やかん,ヤカン,0
ケトル,ケトル,1
ミキサー,ミキサー,1
フードプロセッサー,フードプロセッサー,0
コーヒーメーカー,コーヒーメーカー,0
食洗機,ショクセンキ,0
洗濯機,センタクキ,0
乾燥機,カンソウキ,0
アイロン,アイロン,0
アイロン台,アイロンダイ,0
テレビ,テレビ,1
ラジオ,ラジオ,1
スピーカー,スピーカー,1
イヤホン,イヤホン,0
ヘッドホン,ヘッドホン,0
パソコン,パソコン,0
ノートパソコン,ノートパソコン,5
タブレット,タブレット,0
スマホ,スマホ,1
充電器,ジュウデンキ,3
充電ケーブル,ジュウデンケーブル,0
延長コード,エンチョウコード,0
電源タップ,デンゲンタップ,0
リモコン,リモコン,1
乾電池,カンデンチ,3
ボタン電池,ボタンデンチ,0
箱,ハコ,0
小箱,コバコ,0
紙箱,カミバコ,0
木箱,キバコ,0
袋,フクロ,0
紙袋,カミブクロ,0
買い物袋,カイモノブクロ,0
ごみ袋,ゴミブクロ,0
手提げ袋,テサゲブクロ,0
かばん,カバン,0
通学かばん,ツウガクカバン,0
通勤かばん,ツウキンカバン,0
手提げかばん,テサゲカバン,0
リュック,リュック,1
ランドセル,ランドセル,0
ショルダーバッグ,ショルダーバッグ,0
トートバッグ,トートバッグ,0
ボストンバッグ,ボストンバッグ,0
スーツケース,スーツケース,0
財布,サイフ,1
長財布,ナガザイフ,0
小銭入れ,コゼニイレ,0
定期入れ,テイキイレ,0
カードケース,カードケース,0
傘,カサ,1
日傘,ヒガサ,0
折り畳み傘,オリタタミガサ,0
雨具,アマグ,1
レインコート,レインコート,4
長靴,ナガグツ,0
靴,クツ,2
運動靴,ウンドウグツ,0
上履き,ウワバキ,0
革靴,カワグツ,0
スニーカー,スニーカー,1
サンダル,サンダル,1
スリッパ,スリッパ,0
ブーツ,ブーツ,1
靴下,クツシタ,0
ハイソックス,ハイソックス,0
ストッキング,ストッキング,0
帽子,ボウシ,0
麦わら帽子,ムギワラボウシ,0
ニット帽,ニットボウ,0
キャップ,キャップ,1
服,フク,2
冬服,フユフク,0
夏服,ナツフク,0
春服,ハルフク,0
秋服,アキフク,0
普段着,フダンギ,0
外出着,ガイシュツギ,0
部屋着,ヘヤギ,0
寝巻き,ネマキ,0
パジャマ,パジャマ,0
下着,シタギ,0
肌着,ハダギ,0
シャツ,シャツ,1
Tシャツ,ティーシャツ,1
ブラウス,ブラウス,1
セーター,セーター,1
カーディガン,カーディガン,0
パーカー,パーカー,1
トレーナー,トレーナー,0
ジャケット,ジャケット,0
コート,コート,1
ダウンコート,ダウンコート,0
ズボン,ズボン,0
パンツ,パンツ,1
ジーンズ,ジーンズ,1
スカート,スカート,2
ワンピース,ワンピース,3
スーツ,スーツ,1
ネクタイ,ネクタイ,0
ベルト,ベルト,1
手袋,テブクロ,0
マフラー,マフラー,0
ストール,ストール,1
ハンカチ,ハンカチ,3
タオル,タオル,1
バスタオル,バスタオル,0
フェイスタオル,フェイスタオル,0
石鹸,セッケン,0
ハンドソープ,ハンドソープ,0
ボディーソープ,ボディーソープ,0
シャンプー,シャンプー,1
コンディショナー,コンディショナー,0
リンス,リンス,1
トリートメント,トリートメント,0
歯ブラシ,ハブラシ,2
歯みがき粉,ハミガキコ,0
うがい薬,ウガイグスリ,0
洗顔料,センガンリョウ,0
化粧水,ケショウスイ,0
乳液,ニュウエキ,0
日焼け止め,ヒヤケドメ,0
くし,クシ,1
ブラシ,ブラシ,1
ヘアゴム,ヘアゴム,0
ヘアピン,ヘアピン,0
ドライヤー,ドライヤー,0
かみそり,カミソリ,0
爪切り,ツメキリ,0
綿棒,メンボウ,0
ティッシュ,ティッシュ,1
トイレットペーパー,トイレットペーパー,0
トイレブラシ,トイレブラシ,0
スポンジ,スポンジ,1
たわし,タワシ,0
ぞうきん,ゾウキン,0
モップ,モップ,1
ほうき,ホウキ,0
ちりとり,チリトリ,0
バケツ,バケツ,0
洗剤,センザイ,0
柔軟剤,ジュウナンザイ,0
漂白剤,ヒョウハクザイ,0
ごみ箱,ゴミバコ,0
灰皿,ハイザラ,0
芳香剤,ホウコウザイ,0
消臭剤,ショウシュウザイ,0
防虫剤,ボウチュウザイ,0
文房具,ブンボウグ,3
筆箱,フデバコ,0
鉛筆,エンピツ,0
色鉛筆,イロエンピツ,0
シャープペンシル,シャープペンシル,0
消しゴム,ケシゴム,0
定規,ジョウギ,1
三角定規,サンカクジョウギ,0
分度器,ブンドキ,0
コンパス,コンパス,1
下敷き,シタジキ,0
ノート,ノート,1
連絡帳,レンラクチョウ,0
メモ帳,メモチョウ,0
手帳,テチョウ,0
日記帳,ニッキチョウ,0
アルバム,アルバム,3
辞書,ジショ,1
国語辞典,コクゴジテン,0
漢和辞典,カンワジテン,0
英和辞典,エイワジテン,0
付箋,フセン,0
のり,ノリ,0
テープ,テープ,1
はさみ,ハサミ,0
カッター,カッター,1
ホチキス,ホチキス,1
クリップ,クリップ,1
画びょう,ガビョウ,0
セロハンテープ,セロハンテープ,0
紙,カミ,2
コピー用紙,コピーヨウシ,0
封筒,フトウ,0
便箋,ビンセン,0
はがき,ハガキ,0
切手,キッテ,0
工具,コウグ,1
道具箱,ドウグバコ,0
金づち,カナヅチ,0
かなづち,カナヅチ,0
ドライバー,ドライバー,0
ペンチ,ペンチ,1
ニッパー,ニッパー,1
レンチ,レンチ,1
スパナ,スパナ,0
のこぎり,ノコギリ,0
きり,キリ,1
釘,クギ,1
ねじ,ネジ,1
ボルト,ボルト,1
ナット,ナット,1
接着剤,セッチャクザイ,0
軍手,グンテ,1
懐中電灯,カイチュウデントウ,0
電池,デンチ,1
鍵,カギ,1
南京錠,ナンキンジョウ,0
印鑑,インカン,0
判子,ハンコ,0
貯金箱,チョキンバコ,0
写真立て,シャシンタテ,0
花瓶,カビン,0
植木鉢,ウエキバチ,0
じょうろ,ジョウロ,0
園芸ばさみ,エンゲイバサミ,0
軍配,グンバイ,1
救急箱,キュウキュウバコ,0
ばんそうこう,バンソウコウ,0
体温計,タイオンケイ,0
湿布,シップ,1
マスク,マスク,1
目薬,メグスリ,2
常備薬,ジョウビヤク,0
財布ひも,サイフヒモ,0
台所,ダイドコロ,0
キッチン,キッチン,1
流し台,ナガシダイ,0
調理台,チョウリダイ,0
蛇口,ジャグチ,0
水道,スイドウ,0
排水口,ハイスイコウ,0
まな板,マナイタ,0
包丁,ホウチョウ,3
菜箸,サイバシ,0
箸,ハシ,1
割り箸,ワリバシ,0
フォーク,フォーク,1
ナイフ,ナイフ,1
スプーン,スプーン,2
れんげ,レンゲ,1
お玉,オタマ,0
フライ返し,フライガエシ,0
泡立て器,アワダテキ,0
ざる,ザル,0
ボウル,ボウル,1
計量カップ,ケイリョウカップ,0
計量スプーン,ケイリョウスプーン,0
皿,サラ,0
小皿,コザラ,0
大皿,オオザラ,0
取り皿,トリザラ,0
茶碗,チャワン,0
どんぶり,ドンブリ,0
丼鉢,ドンブリバチ,0
湯のみ,ユノミ,0
マグカップ,マグカップ,0
コップ,コップ,0
グラス,グラス,1
急須,キュウス,1
鍋,ナベ,1
土鍋,ドナベ,0
片手鍋,カタテナベ,0
両手鍋,リョウテナベ,0
フライパン,フライパン,0
卵焼き器,タマゴヤキキ,0
圧力鍋,アツリョクナベ,0
蒸し器,ムシキ,0
魚焼きグリル,サカナヤキグリル,0
風呂,フロ,2
お風呂,オフロ,0
浴槽,ヨクソウ,0
洗面台,センメンダイ,0
洗面器,センメンキ,0
バスタブ,バスタブ,1
シャワー,シャワー,1
シャワーヘッド,シャワーヘッド,0
浴室,ヨクシツ,0
脱衣所,ダツイジョ,0
洗濯かご,センタクカゴ,0
洗濯ばさみ,センタクバサミ,0
物干しざお,モノホシザオ,0
ハンガー,ハンガー,1
洗濯ネット,センタクネット,0
洗面所,センメンジョ,0
トイレ,トイレ,1
便器,ベンキ,1
便座,ベンザ,0
便座カバー,ベンザカバー,0
玄関,ゲンカン,0
廊下,ロウカ,0
階段,カイダン,0
天井,テンジョウ,0
床,ユカ,0
壁,カベ,2
柱,ハシラ,0
屋根,ヤネ,1
庭,ニワ,0
ベランダ,ベランダ,0
バルコニー,バルコニー,0
門,モン,1
門扉,モンピ,1
表札,ヒョウサツ,0
ポスト,ポスト,1
郵便受け,ユウビンウケ,0
物置,モノオキ,0
物干し台,モノホシダイ,0
自転車,ジテンシャ,2
三輪車,サンリンシャ,3
一輪車,イチリンシャ,3
空気入れ,クウキイレ,0
ベル,ベル,1
かご,カゴ,0
子ども部屋,コドモベヤ,0
居間,イマ,1
茶の間,チャノマ,0
食卓,ショクタク,0
勉強部屋,ベンキョウベヤ,0
寝室,シンシツ,0
客間,キャクマ,0
和室,ワシツ,0
洋室,ヨウシツ,0
書斎,ショサイ,0
窓際,マドギワ,0
日なた,ヒナタ,0
日陰,ヒカゲ,0
木陰,コカゲ,0
土間,ドマ,0
縁側,エンガワ,0
網棚,アミダナ,0
東京,トーキョー,0
大阪,オーサカ,0
京都,キョート,1
名古屋,ナゴヤ,1
北海道,ホッカイドー,3
沖縄,オキナワ,0
福岡,フクオカ,0
仙台,センダイ,0
横浜,ヨコハマ,0
神戸,コーベ,1
札幌,サッポロ,0
広島,ヒロシマ,0
